ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000563.SZ,20240604,2.88,2.94,2.87,2.93,2.89,0.040000000000000036,1.3841,408699.9,118725.643
000726.SZ,20240604,6.95,7.55,6.89,7.39,7.0,0.3899999999999997,5.5714,314495.4,229875.644
002475.SZ,20240604,32.4,32.85,32.15,32.73,32.51,0.21999999999999886,0.6767,484441.11,1575657.99
002743.SZ,20240604,4.03,4.05,3.91,3.99,4.06,-0.0699999999999994,-1.7241,71463.0,28293.838
002958.SZ,20240604,2.76,2.8,2.75,2.79,2.77,0.020000000000000018,0.722,343250.0,95533.038
301336.SZ,20240604,30.5,30.86,29.51,30.65,31.12,-0.4700000000000024,-1.5103,5763.0,17348.526
601236.SH,20240604,6.84,6.87,6.79,6.85,6.83,0.019999999999999574,0.2928,104257.15,71175.72
601368.SH,20240604,4.24,4.25,4.17,4.23,4.24,-0.009999999999999787,-0.2358,42309.0,17795.308
601669.SH,20240604,5.28,5.4,5.26,5.39,5.31,0.08000000000000007,1.5066,1232751.0,658495.781
002839.SZ,20240604,4.27,4.33,4.26,4.31,4.28,0.02999999999999936,0.7009,292657.97,125701.518
